,x_test,y_test
0,-20.0,-0.7793720261370909
1,-19.83319432860717,-1.1230548387333303
2,-19.799833194328606,-1.1062506785404036
3,-19.699749791492913,-0.5851140679158894
4,-19.66638865721435,-0.3895229288344855
5,-19.63302752293578,-0.31944221614659374
6,-19.599666388657212,-0.17220518162417323
7,-19.566305254378648,-0.030043092967187667
8,-19.532944120100083,0.012371552526654186
9,-19.466221851542954,0.21590593596270308
10,-19.43286071726439,0.34556968160386203
11,-19.366138448707257,0.4638278587099438
12,-19.33277731442869,0.35342806960994066
13,-19.299416180150125,0.4676847045171397
14,-19.26605504587156,0.42766207731937433
15,-19.232693911592996,0.45131835015990285
16,-19.19933277731443,0.48660554190942945
17,-19.16597164303586,0.3316949242055326
18,-19.132610508757296,0.39783093582411055
19,-19.09924937447873,0.07809893054479941
20,-19.065888240200167,0.13444724640656375
21,-18.932443703085905,-0.16393729524358985
22,-18.899082568807337,-0.22923127989753428
23,-18.76563803169308,-0.2660765277140798
24,-18.73227689741451,-0.3646301949206677
25,-18.698915763135943,-0.3166776614575196
26,-18.66555462885738,-0.1825222195602974
27,-18.632193494578814,-0.19248921530798513
28,-18.59883236030025,-0.012355492722924744
29,-18.565471226021685,0.08111245162152303
30,-18.53211009174312,0.25137596102991844
31,-18.43202668890742,0.7584287273439364
32,-18.398665554628856,0.9324028296166899
33,-18.36530442035029,0.932155802976745
34,-18.29858215179316,0.9010852549302986
35,-18.198498748957462,0.961472535691371
36,-18.131776480400333,0.859114496633813
37,-18.09841534612177,0.9316099220942865
38,-18.065054211843204,1.059436854898418
39,-17.99833194328607,1.1001916633205548
40,-17.898248540450375,1.0600406778733833
41,-17.86488740617181,1.0099349906248438
42,-17.831526271893246,1.0267011380817763
43,-17.79816513761468,0.9805555194493335
44,-17.764804003336117,1.0516823642379567
45,-17.73144286905755,1.0408159955673157
46,-17.664720600500416,0.943714620091844
47,-17.597998331943288,0.019115966481538002
48,-17.53127606338615,-0.3421078993517827
49,-17.464553794829023,-0.23845310120212515
50,-17.431192660550458,-0.21005467844019712
51,-17.397831526271894,-0.026971295713030433
52,-17.36447039199333,-0.042616405060482226
53,-17.2977481234362,-0.2660264369341175
54,-17.26438698915763,-0.5313552112774604
55,-17.231025854879064,-0.9554860570344222
56,-17.1976647206005,-1.4695481543811753
57,-17.164303586321935,-1.993739741960218
58,-17.13094245204337,-2.695426306663134
59,-17.064220183486242,-3.5532769060758236
60,-17.030859049207674,-3.961876366537378
61,-16.930775646371977,-4.288697854288977
62,-16.897414512093412,-4.172795244617683
63,-16.864053377814848,-3.949508492129199
64,-16.797331109257712,-3.3007914150823776
65,-16.763969974979148,-2.8349290525406756
66,-16.69724770642202,-2.261817322715278
67,-16.663886572143454,-1.9379651108068603
68,-16.597164303586325,-1.339893570551344
69,-16.563803169307757,-0.9967154081010016
70,-16.53044203502919,-0.7385015264919221
71,-16.430358632193496,-0.3393910507299731
72,-16.39699749791493,-0.21880466514373653
73,-16.36363636363636,-0.14070049444500654
74,-16.330275229357795,0.1509295501384381
75,-16.230191826522102,0.006500406081556817
76,-16.196830692243537,0.11153166393472883
77,-16.163469557964973,0.045164430580181734
78,-16.09674728940784,0.06911244588934551
79,-16.063386155129272,0.05341175598823456
80,-16.030025020850708,0.06027610288586286
81,-15.996663886572144,-0.14635975250125585
82,-15.963302752293576,-0.05962748274818667
83,-15.929941618015011,-0.08086621842356129
84,-15.896580483736445,-0.07816199478152575
85,-15.86321934945788,-0.04366418713284666
86,-15.829858215179314,-0.01609320896495262
87,-15.663052543786486,0.18593964321083928
88,-15.629691409507922,0.3015644878857628
89,-15.596330275229356,0.3149017562131837
90,-15.562969140950791,0.39720934272527425
91,-15.462885738115098,0.5402806754651334
92,-15.396163469557967,0.6453026765610088
93,-15.329441201000833,0.47342924288104143
94,-15.296080066722268,0.48225617002239113
95,-15.22935779816514,0.2711630846735441
96,-15.19599666388657,0.038092825063807775
97,-15.162635529608005,-0.09014062335547174
